rank,company,symbol,ytd_return
282,FOX CORP   CLASS A,FOXA,-0.13%
283,ZOETIS INC,ZTS,-0.17%
284,BROWN FORMAN CORP CLASS B,BF.B,-0.18%
285,BANK OF AMERICA CORP,BAC,-0.18%
286,GENERAL MILLS INC,GIS,-0.21%
287,UNITEDHEALTH GROUP INC,UNH,-0.22%
288,KIMBERLY CLARK CORP,KMB,-0.23%
289,WILLIAMS COS INC,WMB,-0.32%
290,FIRSTENERGY CORP,FE,-0.49%
291,AMERICAN ELECTRIC POWER,AEP,-0.55%
292,PROLOGIS INC,PLD,-0.56%
293,AMGEN INC,AMGN,-0.57%
294,WATERS CORP,WAT,-0.67%
295,BLACKROCK INC,BLK,-0.71%
296,EXELON CORP,EXC,-0.75%
297,MCCORMICK + CO NON VTG SHRS,MKC,-0.79%
298,NETAPP INC,NTAP,-0.83%
299,ILLINOIS TOOL WORKS,ITW,-0.84%
300,ESTEE LAUDER COMPANIES CL A,EL,-0.84%
301,BECTON DICKINSON AND CO,BDX,-0.87%
302,JM SMUCKER CO/THE,SJM,-0.89%
303,PEPSICO INC,PEP,-0.93%
304,DOMINION ENERGY INC,D,-0.94%
305,M + T BANK CORP,MTB,-1.02%
306,SMITH (A.O.) CORP,AOS,-1.03%
307,AT+T INC,T,-1.07%
308,INTERPUBLIC GROUP OF COS INC,IPG,-1.10%
309,ENTERGY CORP,ETR,-1.23%
310,BOOKING HOLDINGS INC,BKNG,-1.34%
311,METTLER TOLEDO INTERNATIONAL,MTD,-1.46%
312,ALPHABET INC CL A,GOOGL,-1.52%
313,FLEETCOR TECHNOLOGIES INC,FLT,-1.52%
314,LIVE NATION ENTERTAINMENT IN,LYV,-1.53%
315,BRISTOL MYERS SQUIBB CO,BMY,-1.54%
316,ALPHABET INC CL C,GOOG,-1.55%
317,FOX CORP   CLASS B,FOX,-1.56%
318,S+P GLOBAL INC,SPGI,-1.61%
319,ILLUMINA INC,ILMN,-1.63%
320,ROLLINS INC,ROL,-1.69%
321,STARBUCKS CORP,SBUX,-1.80%
322,NORTHROP GRUMMAN CORP,NOC,-1.88%
323,FORD MOTOR CO,F,-1.97%
324,AMEREN CORPORATION,AEE,-2.09%
325,BROADRIDGE FINANCIAL SOLUTIO,BR,-2.11%
326,CONAGRA BRANDS INC,CAG,-2.27%
327,BEST BUY CO INC,BBY,-2.34%
328,INVITATION HOMES INC,INVH,-2.35%
329,CAMPBELL SOUP CO,CPB,-2.43%
330,PUBLIC SERVICE ENTERPRISE GP,PEG,-2.47%
331,CMS ENERGY CORP,CMS,-2.53%
332,MOODY S CORP,MCO,-2.67%
333,KRAFT HEINZ CO/THE,KHC,-2.76%
334,KINDER MORGAN INC,KMI,-2.89%
335,POOL CORP,POOL,-3.09%
336,CONOCOPHILLIPS,COP,-3.14%
337,NISOURCE INC,NI,-3.16%
338,CVS HEALTH CORP,CVS,-3.20%
339,DEVON ENERGY CORP,DVN,-3.25%
340,MONSTER BEVERAGE CORP,MNST,-3.28%
341,PPL CORP,PPL,-3.28%
342,NASDAQ INC,NDAQ,-3.35%
343,CELANESE CORP,CE,-3.37%
344,CBRE GROUP INC   A,CBRE,-3.37%
345,PAYPAL HOLDINGS INC,PYPL,-3.39%
346,AFLAC INC,AFL,-3.39%
347,HALLIBURTON CO,HAL,-3.43%
348,FIFTH THIRD BANCORP,FITB,-3.54%
349,PINNACLE WEST CAPITAL,PNW,-3.58%
350,INCYTE CORP,INCY,-3.60%
351,TEXAS INSTRUMENTS INC,TXN,-3.61%
352,CARMAX INC,KMX,-3.62%
353,EASTMAN CHEMICAL CO,EMN,-3.65%
354,DTE ENERGY COMPANY,DTE,-3.69%
355,ATMOS ENERGY CORP,ATO,-3.69%
356,NIKE INC  CL B,NKE,-3.71%
357,NORTHERN TRUST CORP,NTRS,-3.77%
358,FACTSET RESEARCH SYSTEMS INC,FDS,-3.77%
359,COMCAST CORP CLASS A,CMCSA,-3.79%
360,EQUITY RESIDENTIAL,EQR,-3.83%
361,PHILIP MORRIS INTERNATIONAL,PM,-3.89%
362,COSTAR GROUP INC,CSGP,-3.90%
363,DR HORTON INC,DHI,-4.03%
364,CISCO SYSTEMS INC,CSCO,-4.20%
365,KEYSIGHT TECHNOLOGIES IN,KEYS,-4.24%
366,HP INC,HPQ,-4.29%
367,BLACKSTONE INC,BX,-4.31%
368,INTL FLAVORS + FRAGRANCES,IFF,-4.40%
369,CENTERPOINT ENERGY INC,CNP,-4.45%
370,TELEDYNE TECHNOLOGIES INC,TDY,-4.49%
371,HASBRO INC,HAS,-4.68%
372,FEDEX CORP,FDX,-4.68%
373,ANALOG DEVICES INC,ADI,-4.81%
374,PPG INDUSTRIES INC,PPG,-4.82%
375,REVVITY INC,RVTY,-4.89%
376,EQT CORP,EQT,-4.97%
377,KEYCORP,KEY,-5.00%
378,HONEYWELL INTERNATIONAL INC,HON,-5.02%
379,SEMPRA,SRE,-5.11%
380,HORMEL FOODS CORP,HRL,-5.17%
381,AMCOR PLC,AMCR,-5.19%
382,LABORATORY CRP OF AMER HLDGS,LH,-5.20%
383,EVERGY INC,EVRG,-5.23%
384,CONSOLIDATED EDISON INC,ED,-5.23%
385,LOCKHEED MARTIN CORP,LMT,-5.31%
386,DENTSPLY SIRONA INC,XRAY,-5.34%
387,AGILENT TECHNOLOGIES INC,A,-5.42%
388,MODERNA INC,MRNA,-5.46%
389,FEDERAL REALTY INVS TRUST,FRT,-5.48%
390,SOUTHERN CO/THE,SO,-5.52%
391,LAMB WESTON HOLDINGS INC,LW,-5.59%
392,PFIZER INC,PFE,-5.59%
393,US BANCORP,USB,-5.64%
394,WEYERHAEUSER CO,WY,-5.72%
395,GEN DIGITAL INC,GEN,-5.78%
396,TERADYNE INC,TER,-5.87%
397,APPLE INC,AAPL,-5.91%
398,STATE STREET CORP,STT,-5.93%
399,REGIONS FINANCIAL CORP,RF,-5.93%
400,CARRIER GLOBAL CORP,CARR,-6.01%
401,ALEXANDRIA REAL ESTATE EQUIT,ARE,-6.04%
402,ADOBE INC,ADBE,-6.05%
403,SNAP ON INC,SNA,-6.10%
404,UNITED PARCEL SERVICE CL B,UPS,-6.19%
405,EXPEDITORS INTL WASH INC,EXPD,-6.21%
406,XCEL ENERGY INC,XEL,-6.23%
407,VERISIGN INC,VRSN,-6.28%
408,DEXCOM INC,DXCM,-6.38%
409,SCHWAB (CHARLES) CORP,SCHW,-6.40%
410,PNC FINANCIAL SERVICES GROUP,PNC,-6.46%
411,TRUIST FINANCIAL CORP,TFC,-6.47%
412,INTERNATIONAL PAPER CO,IP,-6.50%
413,MGM RESORTS INTERNATIONAL,MGM,-6.56%
414,DUKE ENERGY CORP,DUK,-6.58%
415,EVERSOURCE ENERGY,ES,-6.61%
416,SCHLUMBERGER LTD,SLB,-6.69%
417,CAMDEN PROPERTY TRUST,CPT,-6.76%
418,BIO TECHNE CORP,TECH,-6.80%
419,EDISON INTERNATIONAL,EIX,-6.91%
420,TAKE TWO INTERACTIVE SOFTWRE,TTWO,-6.98%
421,ON SEMICONDUCTOR,ON,-7.14%
422,AVALONBAY COMMUNITIES INC,AVB,-7.26%
423,VICI PROPERTIES INC,VICI,-7.31%
424,ANSYS INC,ANSS,-7.32%
425,EOG RESOURCES INC,EOG,-7.36%
426,ALLIANT ENERGY CORP,LNT,-7.54%
427,ROYAL CARIBBEAN CRUISES LTD,RCL,-7.66%
428,BUNGE GLOBAL SA,BG,-7.68%
429,SKYWORKS SOLUTIONS INC,SWKS,-7.73%
430,MID AMERICA APARTMENT COMM,MAA,-8.00%
431,CROWN CASTLE INC,CCI,-8.04%
432,MICROCHIP TECHNOLOGY INC,MCHP,-8.07%
433,MORGAN STANLEY,MS,-8.13%
434,CITIZENS FINANCIAL GROUP,CFG,-8.18%
435,ROBERT HALF INC,RHI,-8.42%
436,LULULEMON ATHLETICA INC,LULU,-8.42%
437,QUEST DIAGNOSTICS INC,DGX,-8.47%
438,UDR INC,UDR,-8.54%
439,REALTY INCOME CORP,O,-8.59%
440,TELEFLEX INC,TFX,-8.62%
441,PUBLIC STORAGE,PSA,-8.65%
442,BOSTON PROPERTIES INC,BXP,-8.68%
443,AKAMAI TECHNOLOGIES INC,AKAM,-8.69%
444,ESSEX PROPERTY TRUST INC,ESS,-8.93%
445,WEC ENERGY GROUP INC,WEC,-9.05%
446,DUPONT DE NEMOURS INC,DD,-9.13%
447,DEERE + CO,DE,-9.17%
448,NEXTERA ENERGY INC,NEE,-9.20%
449,P G + E CORP,PCG,-9.21%
450,ENPHASE ENERGY INC,ENPH,-9.31%
451,KIMCO REALTY CORP,KIM,-9.53%
452,GILEAD SCIENCES INC,GILD,-9.95%
453,REGENCY CENTERS CORP,REG,-10.10%
454,FRANKLIN RESOURCES INC,BEN,-10.27%
